country_name,country_3_letter_code,year,medal_count,gold_count,silver_count,bronze_count,game_location,game_season,GDP,population,region,area_sqkm,coastline_coast_area_ratio,GDP_per_capita,host_country_status
Chile,CHI,2004,3,2,0,1,Greece,Summer,99079365628.0,16017966.0,LATIN AMER. & CARIB    ,756950,0.85,6185.514791828126,0
Colombia,COL,2004,2,0,0,2,Greece,Summer,117092416651.0,41648268.0,LATIN AMER. & CARIB    ,1138910,0.28,2811.459450150484,0
Croatia,CRO,2004,5,1,2,2,Greece,Summer,41855265955.0,4304600.0,EASTERN EUROPE                     ,56542,10.32,9723.381023788505,0
Cuba,CUB,2004,27,9,7,11,Greece,Summer,38203000000.0,11225294.0,LATIN AMER. & CARIB    ,110860,3.37,3403.29616311163,0
Czechia,CZE,2004,9,1,3,5,Greece,Summer,119814667458.0,10197101.0,EASTERN EUROPE                     ,78866,0.0,11749.875524229878,0
Denmark,DEN,2004,8,2,1,5,Greece,Summer,251374821136.0,5404523.0,WESTERN EUROPE                     ,43094,16.97,46511.93475094842,0
Dominican Republic,DOM,2004,1,1,0,0,Greece,Summer,22322387610.0,9043127.0,LATIN AMER. & CARIB    ,48730,2.64,2468.436815053023,0
"Egypt, Arab Rep.",EGY,2004,5,1,1,3,Greece,Summer,78782467532.0,77522427.0,NORTHERN AFRICA                    ,1001450,0.24,1016.2538839502536,0
Eritrea,ERI,2004,1,0,0,1,Greece,Summer,1109054005.0,2763140.0,SUB-SAHARAN AFRICA                 ,121320,1.84,401.3745249969238,0
Estonia,EST,2004,3,0,1,2,Greece,Summer,12145911801.0,1362550.0,BALTICS                            ,45226,8.39,8914.103556566732,0
Ethiopia,ETH,2004,7,2,3,2,Greece,Summer,10131187261.0,75301026.0,SUB-SAHARAN AFRICA                 ,1127127,0.0,134.54248632681313,0
Finland,FIN,2004,2,0,2,0,Greece,Summer,197479443979.0,5228172.0,WESTERN EUROPE                     ,338145,0.37,37772.178111010886,0
France,FRA,2004,33,11,9,13,Greece,Summer,2119633181634.0,62716306.0,WESTERN EUROPE                     ,547030,0.63,33797.162441837696,0
Georgia,GEO,2004,4,2,2,0,Greece,Summer,5125365192.0,3927340.0,C.W. OF IND. STATES ,69700,0.44,1305.0474855754785,0
Germany,GER,2004,49,13,16,20,Greece,Summer,2814353869359.0,82516260.0,WESTERN EUROPE                     ,357021,0.67,34106.65812239915,0
United Kingdom,GBR,2004,30,9,9,12,Greece,Summer,2423047347028.0,59987905.0,WESTERN EUROPE                     ,244820,5.08,40392.2648578576,0
Greece,GRE,2004,16,6,6,4,Greece,Summer,240963562236.0,10955141.0,WESTERN EUROPE                     ,131940,10.37,21995.47794373436,1
"Hong Kong SAR, China",HKG,2004,1,0,1,0,Greece,Summer,169099768875.0,6783500.0,ASIA (EX. NEAR EAST)         ,1092,67.12,24928.100372226727,0
Hungary,HUN,2004,17,8,6,3,Greece,Summer,104120803140.0,10107146.0,EASTERN EUROPE                     ,93030,0.0,10301.701700954947,0
India,IND,2004,1,0,1,0,Greece,Summer,709148514805.0,1136264583.0,ASIA (EX. NEAR EAST)         ,3287590,0.21,624.105094372197,0
Indonesia,INA,2004,4,1,1,2,Greece,Summer,256836875295.0,225938595.0,ASIA (EX. NEAR EAST)         ,1919440,2.85,1136.7552112776482,0
"Iran, Islamic Rep.",IRI,2004,6,2,2,2,Greece,Summer,190043433965.0,69061674.0,ASIA (EX. NEAR EAST)         ,1648000,0.15,2751.7930417527964,0
Israel,ISR,2004,2,1,0,1,Greece,Summer,139973668874.0,6809000.0,NEAR EAST                          ,20770,1.31,20557.155070348068,0
Italy,ITA,2004,32,10,11,11,Greece,Summer,1806542968546.0,57685327.0,WESTERN EUROPE                     ,301230,2.52,31317.20079433718,0
Jamaica,JAM,2004,5,2,1,2,Greece,Summer,10174664854.0,2664024.0,LATIN AMER. & CARIB    ,10991,9.3,3819.2842309228445,0
Japan,JPN,2004,37,16,9,12,Greece,Summer,4893116005657.0,127761000.0,ASIA (EX. NEAR EAST)         ,377835,7.87,38298.98017123379,0
Kazakhstan,KAZ,2004,8,1,4,3,Greece,Summer,43151647003.0,15012984.0,C.W. OF IND. STATES ,2717300,0.0,2874.2884827559933,0
Kenya,KEN,2004,7,1,4,2,Greece,Summer,16095337094.0,34791836.0,SUB-SAHARAN AFRICA                 ,582650,0.09,462.618215779127,0
Latvia,LAT,2004,4,0,4,0,Greece,Summer,14435700533.0,2263122.0,BALTICS                            ,64589,0.82,6378.666520408533,0
Lithuania,LTU,2004,3,1,2,0,Greece,Summer,22627507452.0,3377075.0,BALTICS                            ,65200,0.14,6700.3271920226825,0
Mexico,MEX,2004,4,0,3,1,Greece,Summer,782242912348.0,103945813.0,LATIN AMER. & CARIB    ,1972550,0.47,7525.487460933131,0
Mongolia,MGL,2004,1,0,0,1,Greece,Summer,1992066808.0,2537949.0,ASIA (EX. NEAR EAST)         ,1564116,0.0,784.9120719131865,0
Morocco,MAR,2004,3,2,1,0,Greece,Summer,66114147932.0,30033125.0,NORTHERN AFRICA                    ,446550,0.41,2201.3742470022685,0
Netherlands,NED,2004,22,4,9,9,Greece,Summer,658380081545.0,16281779.0,WESTERN EUROPE                     ,41526,1.09,40436.61823102991,0
New Zealand,NZL,2004,5,3,2,0,Greece,Summer,103905628689.0,4087500.0,OCEANIA                            ,268680,5.63,25420.337293944955,0
Nigeria,NGR,2004,2,0,0,2,Greece,Summer,135764715375.0,136756848.0,SUB-SAHARAN AFRICA                 ,923768,0.09,992.7452801120423,0
Norway,NOR,2004,6,5,0,1,Greece,Summer,265267350723.0,4591910.0,WESTERN EUROPE                     ,323802,7.77,57768.41243033944,0
Paraguay,PAR,2004,1,0,1,0,Greece,Summer,9624440836.0,5416324.0,LATIN AMER. & CARIB    ,406750,0.0,1776.932258114544,0
China,CHN,2004,63,32,17,14,Greece,Summer,1955346808095.0,1296075000.0,ASIA (EX. NEAR EAST)         ,9596960,0.15,1508.667945986922,0
Poland,POL,2004,10,3,2,5,Greece,Summer,255107275407.0,38182222.0,EASTERN EUROPE                     ,312685,0.16,6681.310359753291,0
Portugal,POR,2004,3,0,2,1,Greece,Summer,189382122532.0,10483861.0,WESTERN EUROPE                     ,92391,1.94,18064.15809328262,0
"Korea, Rep.",KOR,2004,30,9,12,9,Greece,Summer,793175007858.0,48082519.0,ASIA (EX. NEAR EAST)         ,98480,2.45,16496.120094248807,0
Romania,ROU,2004,19,8,5,6,Greece,Summer,74973660681.0,21451748.0,EASTERN EUROPE                     ,237500,0.09,3494.9907429921327,0
Russian Federation,RUS,2004,90,28,26,36,Greece,Summer,591016690743.0,144067316.0,C.W. OF IND. STATES ,17075200,0.22,4102.364832999318,0
Serbia,SCG,2004,2,0,2,0,Greece,Summer,26141968161.0,7463157.0,EASTERN EUROPE                     ,88361,0.0,3502.802923883284,0
Slovak Republic,SVK,2004,6,2,2,2,Greece,Summer,57437444469.0,5372280.0,EASTERN EUROPE                     ,48845,0.0,10691.446549509705,0
Slovenia,SLO,2004,4,0,1,3,Greece,Summer,34414784504.0,1997012.0,EASTERN EUROPE                     ,20273,0.23,17233.13856101015,0
South Africa,RSA,2004,6,1,3,2,Greece,Summer,255806928395.0,48556071.0,SUB-SAHARAN AFRICA                 ,1219912,0.23,5268.278984001815,0
Spain,ESP,2004,20,3,11,6,Greece,Summer,1069055675274.0,42921895.0,WESTERN EUROPE                     ,504782,0.98,24907.00085059152,0
Sweden,SWE,2004,7,4,2,1,Greece,Summer,385118743610.0,8993531.0,WESTERN EUROPE                     ,449964,0.72,42821.75083512805,0
Switzerland,SUI,2004,5,1,1,3,Greece,Summer,403914244452.0,7389625.0,WESTERN EUROPE                     ,41290,0.0,54659.64030001522,0
Syrian Arab Republic,SYR,2004,1,0,0,1,Greece,Summer,112863340757.0,18084007.0,NEAR EAST                          ,185180,0.1,6241.0582321163665,0
Thailand,THA,2004,8,3,1,4,Greece,Summer,172895685509.0,65311166.0,ASIA (EX. NEAR EAST)         ,514000,0.63,2647.2607380643,0
Trinidad and Tobago,TTO,2004,1,0,0,1,Greece,Summer,13280292692.0,1361172.0,LATIN AMER. & CARIB    ,5128,7.06,9756.513278263144,0
Turkiye,TUR,2004,10,3,3,4,Greece,Summer,408865358517.0,67785075.0,NEAR EAST                          ,780580,0.92,6031.79030954823,0
Ukraine,UKR,2004,22,8,5,9,Greece,Summer,67220154164.0,47451626.0,C.W. OF IND. STATES ,603700,0.46,1416.6038096144482,0
United Arab Emirates,UAE,2004,1,1,0,0,Greece,Summer,147824370320.0,3993339.0,NEAR EAST                          ,82880,1.59,37017.73636548262,0
United States,USA,2004,101,36,39,26,Greece,Summer,12217193198000.0,292805298.0,NORTHERN AMERICA                   ,9631420,0.21,41724.6316287624,0
Uzbekistan,UZB,2004,5,2,1,2,Greece,Summer,12030023548.0,25864350.0,C.W. OF IND. STATES ,447400,0.0,465.11988694863777,0
"Venezuela, RB",VEN,2004,2,0,0,2,Greece,Summer,112451400423.0,26226927.0,LATIN AMER. & CARIB    ,912050,0.31,4287.631578911247,0
Zimbabwe,ZIM,2004,3,1,1,1,Greece,Summer,5805598400.0,12160881.0,SUB-SAHARAN AFRICA                 ,390580,0.0,477.3994910401639,0
Algeria,ALG,1996,3,2,0,1,United States,Summer,46941553940.0,28984634.0,NORTHERN AFRICA                    ,2381740,0.04,1619.5324025826926,0
Argentina,ARG,1996,3,0,2,1,United States,Summer,272149750000.0,35389362.0,LATIN AMER. & CARIB    ,2766890,0.18,7690.157002547828,0
Armenia,ARM,1996,2,1,1,0,United States,Summer,1596968946.0,3298898.0,C.W. OF IND. STATES ,29800,0.0,484.0916409055388,0
Australia,AUS,1996,41,9,9,23,United States,Summer,401310823653.0,18224767.0,OCEANIA                            ,7686850,0.34,22020.07979871567,0
Austria,AUT,1996,3,0,1,2,United States,Summer,237250948791.0,7959017.0,WESTERN EUROPE                     ,83870,0.0,29809.07677304873,0
Azerbaijan,AZE,1996,1,0,1,0,United States,Summer,3176507992.0,7763000.0,C.W. OF IND. STATES ,86600,0.0,409.18562308385935,0
"Bahamas, The",BAH,1996,1,0,1,0,United States,Summer,3609000000.0,304933.0,LATIN AMER. & CARIB    ,13940,25.41,11835.386789884991,0
Belarus,BLR,1996,15,1,6,8,United States,Summer,14756846154.0,10159569.0,C.W. OF IND. STATES ,207600,0.0,1452.50710477974,0
Belgium,BEL,1996,6,2,2,2,United States,Summer,279201433225.0,10156637.0,WESTERN EUROPE                     ,30528,0.22,27489.555177072885,0
Brazil,BRA,1996,15,3,3,9,United States,Summer,850426432992.0,166037122.0,LATIN AMER. & CARIB    ,8511965,0.09,5121.905407346196,0
Bulgaria,BUL,1996,15,3,7,5,United States,Summer,12294987876.0,8362826.0,EASTERN EUROPE                     ,110910,0.32,1470.1953473622434,0
Burundi,BDI,1996,1,1,0,0,United States,Summer,869033856.3,5930507.0,SUB-SAHARAN AFRICA                 ,27830,0.0,146.5361825388622,0
Canada,CAN,1996,22,3,11,8,United States,Summer,630597987889.0,29610218.0,NORTHERN AMERICA                   ,9984670,2.02,21296.634421570285,0
Costa Rica,CRC,1996,1,1,0,0,United States,Summer,11678424507.0,3656234.0,LATIN AMER. & CARIB    ,51100,2.52,3194.112988118375,0
Croatia,CRO,1996,2,1,1,0,United States,Summer,24147539210.0,4557097.0,EASTERN EUROPE                     ,56542,10.32,5298.886376568241,0
Cuba,CUB,1996,25,9,8,8,United States,Summer,25017368700.0,10963031.0,LATIN AMER. & CARIB    ,110860,3.37,2281.975550374709,0
Czechia,CZE,1996,11,4,3,4,United States,Summer,67388492014.0,10315241.0,EASTERN EUROPE                     ,78866,0.0,6532.905243222141,0
Denmark,DEN,1996,6,4,1,1,United States,Summer,187633263193.0,5263074.0,WESTERN EUROPE                     ,43094,16.97,35650.88828182921,0
Ecuador,ECU,1996,1,1,0,0,United States,Summer,25226393197.0,11775221.0,LATIN AMER. & CARIB    ,283560,0.79,2142.328640541014,0
Ethiopia,ETH,1996,3,2,0,1,United States,Summer,8547939731.0,59347649.0,SUB-SAHARAN AFRICA                 ,1127127,0.0,144.03164868417954,0
Finland,FIN,1996,4,1,2,1,United States,Summer,132129174217.0,5124573.0,WESTERN EUROPE                     ,338145,0.37,25783.450487874794,0
France,FRA,1996,37,15,7,15,United States,Summer,1605675086550.0,59756533.0,WESTERN EUROPE                     ,547030,0.63,26870.285238101078,0
Georgia,GEO,1996,2,0,0,2,United States,Summer,3095047604.0,4491699.0,C.W. OF IND. STATES ,69700,0.44,689.0594414273975,0
Germany,GER,1996,65,20,18,27,United States,Summer,2497244606187.0,81914831.0,WESTERN EUROPE                     ,357021,0.67,30485.866548232272,0
United Kingdom,GBR,1996,15,1,8,6,United States,Summer,1421711933486.0,58166950.0,WESTERN EUROPE                     ,244820,5.08,24441.919913043403,0
Greece,GRE,1996,8,4,4,0,United States,Summer,145861612401.0,10608800.0,WESTERN EUROPE                     ,131940,10.37,13749.115112076766,0
"Hong Kong SAR, China",HKG,1996,1,1,0,0,United States,Summer,159718180109.0,6435500.0,ASIA (EX. NEAR EAST)         ,1092,67.12,24818.301625203945,0
Hungary,HUN,1996,21,7,4,10,United States,Summer,46658765340.0,10311238.0,EASTERN EUROPE                     ,93030,0.0,4525.040091209223,0
India,IND,1996,1,0,0,1,United States,Summer,392896860671.0,983281218.0,ASIA (EX. NEAR EAST)         ,3287590,0.21,399.5773065513797,0
Indonesia,INA,1996,4,1,1,2,United States,Summer,227369679375.0,201373791.0,ASIA (EX. NEAR EAST)         ,1919440,2.85,1129.0927098601426,0
Ireland,IRL,1996,4,3,0,1,United States,Summer,75790786290.0,3637510.0,WESTERN EUROPE                     ,70280,2.06,20835.89771299598,0
"Iran, Islamic Rep.",IRI,1996,3,1,1,1,United States,Summer,120403931885.0,61598378.0,ASIA (EX. NEAR EAST)         ,1648000,0.15,1954.6607523496805,0
Israel,ISR,1996,1,0,0,1,United States,Summer,114507654661.0,5692000.0,NEAR EAST                          ,20770,1.31,20117.29702406887,0
Italy,ITA,1996,35,13,10,12,United States,Summer,1312426527795.0,56860281.0,WESTERN EUROPE                     ,301230,2.52,23081.60467576655,0
Jamaica,JAM,1996,6,1,3,2,United States,Summer,7393891854.0,2532894.0,LATIN AMER. & CARIB    ,10991,9.3,2919.147762993635,0
Japan,JPN,1996,14,3,6,5,United States,Summer,4923393495139.0,125757000.0,ASIA (EX. NEAR EAST)         ,377835,7.87,39150.05522665935,0
Kazakhstan,KAZ,1996,11,3,4,4,United States,Summer,21035357833.0,15578227.0,C.W. OF IND. STATES ,2717300,0.0,1350.3050015255267,0
Kenya,KEN,1996,8,1,4,3,United States,Summer,12045865466.0,27615736.0,SUB-SAHARAN AFRICA                 ,582650,0.09,436.1957061727415,0
Latvia,LAT,1996,1,0,1,0,United States,Summer,5975248851.0,2457222.0,BALTICS                            ,64589,0.82,2431.708999431065,0
Lithuania,LTU,1996,1,0,0,1,United States,Summer,8382519637.0,3601613.0,BALTICS                            ,65200,0.14,2327.4348568266496,0
Malaysia,MAS,1996,2,0,1,1,United States,Summer,100855393910.0,20689051.0,ASIA (EX. NEAR EAST)         ,329750,1.42,4874.819725177342,0
Mexico,MEX,1996,1,0,0,1,United States,Summer,410972976953.0,91586555.0,LATIN AMER. & CARIB    ,1972550,0.47,4487.263190028274,0
Mongolia,MGL,1996,1,0,0,1,United States,Summer,1345719472.0,2357033.0,ASIA (EX. NEAR EAST)         ,1564116,0.0,570.9379003178997,0
Morocco,MAR,1996,2,0,0,2,United States,Summer,43161572353.0,26999093.0,NORTHERN AFRICA                    ,446550,0.41,1598.6304559564278,0
Mozambique,MOZ,1996,1,0,0,1,United States,Summer,3856799844.0,16079553.0,SUB-SAHARAN AFRICA                 ,801590,0.31,239.85740424500605,0
Namibia,NAM,1996,2,0,2,0,United States,Summer,3989163042.0,1650066.0,SUB-SAHARAN AFRICA                 ,825418,0.19,2417.577867794379,0
Netherlands,NED,1996,19,4,5,10,United States,Summer,450490196078.0,15530498.0,WESTERN EUROPE                     ,41526,1.09,29006.809445389325,0
New Zealand,NZL,1996,6,3,2,1,United States,Summer,70140835299.0,3732000.0,OCEANIA                            ,268680,5.63,18794.436039389067,0
Nigeria,NGR,1996,6,2,1,3,United States,Summer,51075815093.0,110956183.0,SUB-SAHARAN AFRICA                 ,923768,0.09,460.32419025265136,0
Norway,NOR,1996,7,2,2,3,United States,Summer,163519897878.0,4381336.0,WESTERN EUROPE                     ,323802,7.77,37321.925978286075,0
China,CHN,1996,50,16,22,12,United States,Summer,863749314719.0,1217550000.0,ASIA (EX. NEAR EAST)         ,9596960,0.15,709.4158882337481,0
Philippines,PHI,1996,1,0,1,0,United States,Summer,94648084429.0,70944969.0,ASIA (EX. NEAR EAST)         ,300000,12.1,1334.1056563010127,0
Poland,POL,1996,17,7,5,5,United States,Summer,160193242090.0,38624370.0,EASTERN EUROPE                     ,312685,0.16,4147.465501443778,0
Portugal,POR,1996,2,1,0,1,United States,Summer,122630089680.0,10063945.0,WESTERN EUROPE                     ,92391,1.94,12185.091401036076,0
Puerto Rico,PUR,1996,1,0,0,1,United States,Summer,45340835000.0,3724655.0,LATIN AMER. & CARIB    ,13790,3.63,12173.16368898596,0
"Korea, Rep.",KOR,1996,27,7,15,5,United States,Summer,610169556840.0,45524681.0,ASIA (EX. NEAR EAST)         ,98480,2.45,13403.04958622335,0
Moldova,MDA,1996,2,0,1,1,United States,Summer,1695122174.0,2947293.0,C.W. OF IND. STATES ,33843,0.0,575.1454551685224,0
Romania,ROU,1996,20,4,7,9,United States,Summer,36937074278.0,22619004.0,EASTERN EUROPE                     ,237500,0.09,1633.0106435278935,0
Russian Federation,RUS,1996,63,26,21,16,United States,Summer,391724890744.0,148160129.0,C.W. OF IND. STATES ,17075200,0.22,2643.929195984974,0
Serbia,SCG,1996,4,1,1,2,United States,Summer,21818007449.0,7617794.0,EASTERN EUROPE                     ,88361,0.0,2864.0847270220224,0
Slovak Republic,SVK,1996,3,1,1,1,United States,Summer,27925036755.0,5373361.0,EASTERN EUROPE                     ,48845,0.0,5196.940379587376,0
Slovenia,SLO,1996,2,0,2,0,United States,Summer,21507232649.0,1988628.0,EASTERN EUROPE                     ,20273,0.23,10815.111045907028,0
South Africa,RSA,1996,5,3,1,1,United States,Summer,163234919053.0,44661603.0,SUB-SAHARAN AFRICA                 ,1219912,0.23,3654.927456432766,0
Spain,ESP,1996,17,5,6,6,United States,Summer,642588992513.0,39889852.0,WESTERN EUROPE                     ,504782,0.98,16109.084398533241,0
Sweden,SWE,1996,8,2,4,2,United States,Summer,291745732991.0,8840998.0,WESTERN EUROPE                     ,449964,0.72,32999.185498175655,0
Switzerland,SUI,1996,7,4,3,0,United States,Summer,340101207919.0,7071850.0,WESTERN EUROPE                     ,41290,0.0,48092.25420773913,0
Syrian Arab Republic,SYR,1996,1,1,0,0,United States,Summer,61546280624.0,14708879.0,NEAR EAST                          ,185180,0.1,4184.2944403852935,0
Thailand,THA,1996,2,1,0,1,United States,Summer,183035238433.0,60211096.0,ASIA (EX. NEAR EAST)         ,514000,0.63,3039.8921559740415,0
Tonga,TGA,1996,1,0,1,0,United States,Summer,222100576.3,100195.0,OCEANIA                            ,748,56.02,2216.683230700135,0
Trinidad and Tobago,TTO,1996,2,0,0,2,United States,Summer,5759570496.0,1313434.0,LATIN AMER. & CARIB    ,5128,7.06,4385.123649913128,0
Tunisia,TUN,1996,1,0,0,1,United States,Summer,19587155099.0,9430550.0,NORTHERN AFRICA                    ,163610,0.7,2076.989687664028,0
Turkiye,TUR,1996,6,4,1,1,United States,Summer,181464650312.0,60293786.0,NEAR EAST                          ,780580,0.92,3009.6741696067984,0
Uganda,UGA,1996,1,0,0,1,United States,Summer,6044585327.0,21249572.0,SUB-SAHARAN AFRICA                 ,236040,0.0,284.4568035064424,0
Ukraine,UKR,1996,23,9,2,12,United States,Summer,44558841762.0,51057800.0,C.W. OF IND. STATES ,603700,0.46,872.7137041157276,0
United States,USA,1996,101,44,32,25,United States,Summer,8073122000000.0,269394000.0,NORTHERN AMERICA                   ,9631420,0.21,29967.712718174866,1
Uzbekistan,UZB,1996,2,0,1,1,United States,Summer,13948892216.0,23225000.0,C.W. OF IND. STATES ,447400,0.0,600.5981578471475,0
Zambia,ZAM,1996,1,0,1,0,United States,Summer,3597220962.0,8902019.0,SUB-SAHARAN AFRICA                 ,752614,0.0,404.0904610515884,0
Algeria,ALG,1992,2,1,0,1,Spain,Summer,48003133347.0,26748303.0,NORTHERN AFRICA                    ,2381740,0.04,1794.6235074053109,0
Argentina,ARG,1992,1,0,0,1,Spain,Summer,228778994288.0,33568285.0,LATIN AMER. & CARIB    ,2766890,0.18,6815.331622929202,0
Australia,AUS,1992,27,7,9,11,Spain,Summer,325532426233.0,17478635.0,OCEANIA                            ,7686850,0.34,18624.590892423807,0
Austria,AUT,1992,2,0,2,0,Spain,Summer,195078126722.0,7840709.0,WESTERN EUROPE                     ,83870,0.0,24880.164118066365,0
"Bahamas, The",BAH,1992,1,0,0,1,Spain,Summer,3109000000.0,281973.0,LATIN AMER. & CARIB    ,13940,25.41,11025.878364240549,0
Belgium,BEL,1992,3,0,1,2,Spain,Summer,234781652447.0,10045158.0,WESTERN EUROPE                     ,30528,0.22,23372.619171047383,0
Brazil,BRA,1992,3,2,1,0,Spain,Summer,390566561753.0,155900790.0,LATIN AMER. & CARIB    ,8511965,0.09,2505.225032875074,0
Bulgaria,BUL,1992,16,3,7,6,Spain,Summer,10350515464.0,8540164.0,EASTERN EUROPE                     ,110910,0.32,1211.9808781189681,0
Canada,CAN,1992,18,7,4,7,Spain,Summer,594376087449.0,28371264.0,NORTHERN AMERICA                   ,9984670,2.02,20949.933265186915,0
Colombia,COL,1992,1,0,0,1,Spain,Summer,58394443349.0,33939039.0,LATIN AMER. & CARIB    ,1138910,0.28,1720.5685567290222,0
Cuba,CUB,1992,31,14,6,11,Spain,Summer,22085858243.0,10783748.0,LATIN AMER. & CARIB    ,110860,3.37,2048.068838682061,0
Czechia,TCH,1992,7,4,2,1,Spain,Summer,34805013230.0,10319123.0,EASTERN EUROPE                     ,78866,0.0,3372.865429552492,0
Denmark,DEN,1992,6,1,1,4,Spain,Summer,152914810033.0,5171370.0,WESTERN EUROPE                     ,43094,16.97,29569.497064220894,0
Ethiopia,ETH,1992,3,1,0,2,Spain,Summer,10492993078.0,52011554.0,SUB-SAHARAN AFRICA                 ,1127127,0.0,201.74350256867925,0
Finland,FIN,1992,5,1,2,2,Spain,Summer,112532519246.0,5041992.0,WESTERN EUROPE                     ,338145,0.37,22319.05946022921,0
France,FRA,1992,29,8,5,16,Spain,Summer,1401465923172.0,58849943.0,WESTERN EUROPE                     ,547030,0.63,23814.2273675949,0
Germany,GER,1992,82,33,21,28,Spain,Summer,2131571696932.0,80624598.0,WESTERN EUROPE                     ,357021,0.67,26438.230388844855,0
Ghana,GHA,1992,1,0,0,1,Spain,Summer,6416079342.0,16241548.0,SUB-SAHARAN AFRICA                 ,239460,0.23,395.04112181917634,0
United Kingdom,GBR,1992,20,5,3,12,Spain,Summer,1179713014952.0,57580402.0,WESTERN EUROPE                     ,244820,5.08,20488.09966543825,0
Greece,GRE,1992,2,2,0,0,Spain,Summer,116224672864.0,10399061.0,WESTERN EUROPE                     ,131940,10.37,11176.45841908226,0
